City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Sabya,SA,2022-03-14 02:31:02,17.1495,42.6254,78.42,75,2,5.23
127,Airai,TL,2022-03-14 02:31:02,-8.9266,125.4092,75.97,57,55,1.41
128,Nikolskoye,RU,2022-03-14 02:31:03,59.7035,30.7861,32.88,98,100,3.4
129,Kapustin Yar,RU,2022-03-14 02:31:03,48.5831,45.7372,12.72,94,7,7.23
130,Berkak,NO,2022-03-14 02:31:03,62.825,10.0118,23.22,72,92,10.02
131,Heihe,CN,2022-03-14 02:31:03,50.2441,127.4902,21.78,89,100,4.18
132,Port Shepstone,ZA,2022-03-14 02:31:04,-30.7414,30.455,70.63,84,99,16.37
133,San Pedro,PH,2022-03-14 02:31:04,14.35,121.0167,89.31,65,40,4.61
134,Naro Moru,KE,2022-03-14 02:31:04,-0.1676,37.0213,52.93,67,80,1.99
135,Kavieng,PG,2022-03-14 02:31:05,-2.5744,150.7967,85.87,64,9,13.2
136,Koungheul,SN,2022-03-14 02:31:05,13.9833,-14.8,73.71,27,3,7.0
137,Esperance,AU,2022-03-14 02:31:05,-33.8667,121.9,75.04,61,13,15.57
138,Pisco,PE,2022-03-14 02:31:06,-13.7,-76.2167,69.85,78,0,4.61
139,Mombetsu,JP,2022-03-14 02:31:06,44.3525,143.3525,32.02,86,75,6.91
140,Bandarbeyla,SO,2022-03-14 02:31:06,9.4942,50.8122,77.5,71,93,14.67
141,San Andres,CO,2022-03-14 02:31:07,12.5847,-81.7006,82.42,69,20,12.66
142,Kutum,SD,2022-03-14 02:31:07,14.2,24.6667,61.32,20,2,6.31
143,Parfenyevo,RU,2022-03-14 02:31:07,58.484,43.4088,13.57,97,79,7.09
144,Itarema,BR,2022-03-14 02:31:08,-2.9248,-39.9167,77.34,84,98,5.64
145,Lovozero,RU,2022-03-14 02:31:08,68.005,35.0117,25.65,90,100,4.16
146,Ola,RU,2022-03-14 02:31:08,59.5833,151.2833,21.15,62,100,3.18
147,Barroquinha,BR,2022-03-14 02:31:08,-3.0189,-41.1361,73.71,96,100,4.05
148,Jiangyou,CN,2022-03-14 02:31:09,31.7667,104.7167,80.87,32,2,3.53
149,Hermanus,ZA,2022-03-14 02:28:44,-34.4187,19.2345,51.8,67,67,11.34
150,Saint-Philippe,RE,2022-03-14 02:31:09,-21.3585,55.7679,74.79,86,100,11.7
151,Buala,SB,2022-03-14 02:31:10,-8.145,159.5921,85.1,69,86,3.31
152,Mildura,AU,2022-03-14 02:29:38,-34.2,142.15,71.56,68,100,14.97
153,Tuktoyaktuk,CA,2022-03-14 02:31:10,69.4541,-133.0374,-7.6,77,75,13.8
154,Saint George,US,2022-03-14 02:27:56,37.1041,-113.5841,63.63,16,0,4.61
