City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
427,Sokoni,TZ,79.88,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
430,Savalou,BJ,79.79,few clouds,7.9281,1.9756,Hotel F&F
435,Clarence Town,AU,78.82,light rain,-32.5833,151.7833,River Downs Cottage
441,Majene,ID,85.95,few clouds,-3.5403,118.9707,Kost Putri RABBANI
449,Kalmunai,LK,82.67,broken clouds,7.4167,81.8167,VS Villa
452,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
455,Boyolangu,ID,86.4,broken clouds,-8.1181,111.8935,Yos ega cv
456,Okitipupa,NG,75.85,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
457,Sarangani,PH,82.85,broken clouds,5.4033,125.4636,Ballistic Islet
460,Buala,SB,84.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
467,Boueni,YT,78.78,overcast clouds,-12.9025,45.0761,The feet in water
468,Port Blair,IN,86.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
470,Lalmohan,BD,84.29,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
472,Inhambane,MZ,76.1,clear sky,-23.865,35.3833,Oceano
474,Doka,SD,75.99,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
484,Mana,GF,75.45,moderate rain,5.6592,-53.7767,LE SAMANA
485,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
492,Takoradi,GH,75.79,overcast clouds,4.8845,-1.7554,Raybow International Hotel
493,Labuhan,ID,85.42,overcast clouds,-6.8844,112.2051,DoubleFAG
498,Aquiraz,BR,81.05,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
508,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
512,Diu,IN,87.21,clear sky,20.7141,70.9822,Hotel Relax Inn
513,Aden,YE,77.58,few clouds,12.7794,45.0367,Sama Emirate Hotel
514,Taganak,PH,87.94,scattered clouds,6.0833,118.3,Taganak
515,Basco,PH,75.65,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
516,Maunabo,PR,75.88,clear sky,18.0072,-65.8993,Maunacaribe
517,Pouembout,NC,84.51,overcast clouds,-21.1333,164.9,Camping de Tipenga
