City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
98,Sai Buri,TH,2022-03-14 03:37:16,6.7013,101.6168,83.91,74,97,10.13,overcast clouds
99,Bahir Dar,ET,2022-03-14 03:37:16,11.5936,37.3908,66.58,57,98,2.95,overcast clouds
100,Yaan,NG,2022-03-14 03:37:17,7.3833,8.5667,81.05,50,32,3.58,scattered clouds
101,Channel-Port Aux Basques,CA,2022-03-14 03:37:17,47.5702,-59.1367,20.98,71,100,35.68,overcast clouds
102,Arraial Do Cabo,BR,2022-03-14 03:34:29,-22.9661,-42.0278,76.71,91,7,15.39,clear sky
103,Dikson,RU,2022-03-14 03:37:17,73.5069,80.5464,-3.23,97,100,15.97,light snow
104,Padang,ID,2022-03-14 03:37:18,-0.9492,100.3543,84.25,83,97,3.67,overcast clouds
105,Hilo,US,2022-03-14 03:36:06,19.7297,-155.09,78.53,73,100,11.5,overcast clouds
106,Nome,US,2022-03-14 03:34:27,64.5011,-165.4064,26.67,28,0,18.41,clear sky
107,Punta Arenas,CL,2022-03-14 03:37:18,-53.15,-70.9167,41.11,81,20,25.32,few clouds
108,Maceio,BR,2022-03-14 03:37:18,-9.6658,-35.7353,76.44,88,40,3.44,scattered clouds
109,Biak,ID,2022-03-14 03:37:19,-0.9131,122.8766,84.13,67,71,1.41,broken clouds
110,Trzebiatow,PL,2022-03-14 03:37:19,54.0615,15.2648,34.05,67,0,11.68,clear sky
111,Port Hedland,AU,2022-03-14 03:37:19,-20.3167,118.5667,100.45,32,0,11.5,clear sky
112,Cidreira,BR,2022-03-14 03:37:20,-30.1811,-50.2056,70.14,86,100,9.64,overcast clouds
113,Huarmey,PE,2022-03-14 03:37:20,-10.0681,-78.1522,73.08,79,99,5.61,overcast clouds
114,Mbandaka,CD,2022-03-14 03:37:20,0.0487,18.2603,72.27,91,100,3.24,overcast clouds
115,Geraldton,AU,2022-03-14 03:37:20,-28.7667,114.6,79.21,53,18,11.5,few clouds
116,Nikolskoye,RU,2022-03-14 03:37:21,59.7035,30.7861,32.88,97,100,3.09,overcast clouds
117,Saint-Augustin,CA,2022-03-14 03:37:21,51.226,-58.6502,7.14,72,100,19.08,overcast clouds
118,Taldan,RU,2022-03-14 03:37:21,53.6667,124.8,20.7,67,100,7.0,overcast clouds
119,Kahului,US,2022-03-14 03:37:10,20.8947,-156.47,82.42,51,40,11.5,scattered clouds
120,Hobyo,SO,2022-03-14 03:37:22,5.3505,48.5268,80.02,66,61,17.45,broken clouds
121,Mayo,US,2022-03-14 03:37:22,38.8876,-76.5119,39.97,66,75,6.91,broken clouds
122,Okhotsk,RU,2022-03-14 03:37:22,59.3833,143.3,22.93,82,100,6.58,overcast clouds
123,Victoria,HK,2022-03-14 03:36:55,22.2855,114.1577,81.25,75,37,5.99,scattered clouds
124,Paka,MY,2022-03-14 03:37:22,4.6374,103.4368,84.13,79,40,6.91,scattered clouds
125,Havre-Saint-Pierre,CA,2022-03-14 03:37:23,50.2334,-63.5986,17.6,61,0,13.8,clear sky
126,Faanui,PF,2022-03-14 03:33:06,-16.4833,-151.75,82.0,73,80,12.33,broken clouds
127,Lockport,US,2022-03-14 03:34:05,41.5895,-88.0578,42.85,84,0,6.91,clear sky
128,Saint-Philippe,RE,2022-03-14 03:37:23,-21.3585,55.7679,74.79,85,100,12.53,light rain
